id,lat,lon,area_ha,initial_date,final_date
21189051,10.41685668376293,-1.8871305920481618,353242.0,2017-10-25,2017-12-23
24714348,10.726171102415309,-1.9742804338964441,278885.0,2020-11-14,2021-01-28
23520944,10.659800391018992,-1.9459150790409065,234965.0,2019-11-17,2020-02-08
25657151,14.002469691471926,-8.96798215915339,470875.0,2021-10-02,2021-12-05
20067454,13.98828413435165,-8.962908260463673,408109.0,2016-10-03,2016-11-22
21210473,8.8624692592398,22.17221942511581,868659.0,2017-10-27,2018-01-30
24650456,9.872668051727185,30.996306459089233,652089.0,2020-10-18,2021-01-14
21208124,9.681615950946094,22.656559155300744,782001.0,2017-10-19,2017-12-23
23541201,9.059639597321524,21.761230352108093,736923.0,2019-11-05,2020-01-27
22268157,13.8446072208549,-11.800248420678187,656083.0,2018-10-09,2018-12-13
22366085,10.61773640923138,-1.998760185129253,185530.0,2018-11-20,2019-01-23
